old_index,zip,locale,city,city_code,lat,lng,dist_to_centre
104,10454,Hunts Point and Mott Haven,"New York City, New York, USA",NYC,40.809696197509766,-73.91561889648438,13.229972219252375
105, 10455,Hunts Point and Mott Haven,"New York City, New York, USA",NYC,40.809696197509766,-73.91561889648438,13.229972219252375
106, 10459,Hunts Point and Mott Haven,"New York City, New York, USA",NYC,40.809696197509766,-73.91561889648438,13.229972219252375
107, 10474,Hunts Point and Mott Haven,"New York City, New York, USA",NYC,40.809696197509766,-73.91561889648438,13.229972219252375
108,10463,Kingsbridge and Riverdale,"New York City, New York, USA",NYC,40.89059066772461,-73.91270446777344,21.285017619058042
109, 10471,Kingsbridge and Riverdale,"New York City, New York, USA",NYC,40.89059066772461,-73.91270446777344,21.285017619058042
110,10466,Northeast Bronx,"New York City, New York, USA",NYC,40.89223098754883,-73.85376739501953,138.82105205149182
111, 10469,Northeast Bronx,"New York City, New York, USA",NYC,40.86946487426758,-73.85127258300781,138.82105205149182
112, 10470,Northeast Bronx,"New York City, New York, USA",NYC,40.90000915527344,-73.86190795898438,138.82105205149182
113, 10475,Northeast Bronx,"New York City, New York, USA",NYC,40.87302017211914,-73.82681274414062,138.82105205149182
114,10461,Southeast Bronx,"New York City, New York, USA",NYC,40.84895706176758,-73.84188079833984,82.43924398437728
115, 10462,Southeast Bronx,"New York City, New York, USA",NYC,40.84178161621094,-73.85888671875,82.43924398437728
116,10464,Southeast Bronx,"New York City, New York, USA",NYC,40.852081298828125,-73.78860473632812,82.43924398437728
117, 10465,Southeast Bronx,"New York City, New York, USA",NYC,40.822509765625,-73.81742095947266,82.43924398437728
118, 10472,Southeast Bronx,"New York City, New York, USA",NYC,40.8292350769043,-73.8712158203125,82.43924398437728
119, 10473,Southeast Bronx,"New York City, New York, USA",NYC,40.81956100463867,-73.86012268066406,82.43924398437728
120,11212,Central Brooklyn,"New York City, New York, USA",NYC,40.66179656982422,-73.9139404296875,2.660623646666043
121, 11213,Central Brooklyn,"New York City, New York, USA",NYC,40.67170333862305,-73.9354019165039,2.660623646666043
122, 11216,Central Brooklyn,"New York City, New York, USA",NYC,40.680423736572266,-73.94985961914062,2.660623646666043
123, 11233,Central Brooklyn,"New York City, New York, USA",NYC,40.67871856689453,-73.91915893554688,2.660623646666043
124, 11238,Central Brooklyn,"New York City, New York, USA",NYC,40.680084228515625,-73.96422576904297,2.660623646666043
125,11209,Southwest Brooklyn,"New York City, New York, USA",NYC,40.62318420410156,-74.02980041503906,2.660623646666043
126, 11214,Southwest Brooklyn,"New York City, New York, USA",NYC,40.60163879394531,-73.99656677246094,2.660623646666043
127, 11228,Southwest Brooklyn,"New York City, New York, USA",NYC,40.61830520629883,-74.00950622558594,2.660623646666043
128,11204,Borough Park,"New York City, New York, USA",NYC,40.62732696533203,-73.99295806884766,9.607364477097132
129, 11218,Borough Park,"New York City, New York, USA",NYC,40.62732696533203,-73.99295806884766,9.607364477097132
130, 11219,Borough Park,"New York City, New York, USA",NYC,40.62732696533203,-73.99295806884766,9.607364477097132
131, 11230,Borough Park,"New York City, New York, USA",NYC,40.62732696533203,-73.99295806884766,9.607364477097132
132,11234,Canarsie and Flatlands,"New York City, New York, USA",NYC,40.63038635253906,-73.9300537109375,11.262760714925422
133, 11236,Canarsie and Flatlands,"New York City, New York, USA",NYC,40.63038635253906,-73.9300537109375,11.262760714925422
134, 11239,Canarsie and Flatlands,"New York City, New York, USA",NYC,40.63038635253906,-73.9300537109375,11.262760714925422
135,11223,Southern Brooklyn,"New York City, New York, USA",NYC,40.597896575927734,-73.97221374511719,2.660623646666043
136, 11224,Southern Brooklyn,"New York City, New York, USA",NYC,40.577510833740234,-73.98387908935547,2.660623646666043
137, 11229,Southern Brooklyn,"New York City, New York, USA",NYC,40.599693298339844,-73.94841003417969,2.660623646666043
138, 11235,Southern Brooklyn,"New York City, New York, USA",NYC,40.58394241333008,-73.95357513427734,2.660623646666043
139,11201,Northwest Brooklyn,"New York City, New York, USA",NYC,40.692989349365234,-73.99076843261719,2.660623646666043
140, 11205,Northwest Brooklyn,"New York City, New York, USA",NYC,40.693443298339844,-73.96490478515625,2.660623646666043
141, 11215,Northwest Brooklyn,"New York City, New York, USA",NYC,40.66743469238281,-73.98274993896484,2.660623646666043
142, 11217,Northwest Brooklyn,"New York City, New York, USA",NYC,40.68274688720703,-73.97818756103516,2.660623646666043
143, 11231,Northwest Brooklyn,"New York City, New York, USA",NYC,40.678733825683594,-74.00202941894531,2.660623646666043
144,11203,Flatbush,"New York City, New York, USA",NYC,40.71304702758789,-74.00723266601562,10.682374846011335
145, 11210,Flatbush,"New York City, New York, USA",NYC,40.62604904174805,-73.95350646972656,10.682374846011335
146, 11225,Flatbush,"New York City, New York, USA",NYC,40.71304702758789,-74.00723266601562,10.682374846011335
147, 11226,Flatbush,"New York City, New York, USA",NYC,40.62604904174805,-73.95350646972656,10.682374846011335
148,11207,East New York and New Lots,"New York City, New York, USA",NYC,40.65767288208008,-73.88778686523438,11.804628277696898
149, 11208,East New York and New Lots,"New York City, New York, USA",NYC,40.71304702758789,-74.00723266601562,11.804628277696898
150,11211,Greenpoint,"New York City, New York, USA",NYC,40.72709274291992,-73.94673156738281,5.3325868069477576
151, 11222,Greenpoint,"New York City, New York, USA",NYC,40.72709274291992,-73.94673156738281,5.3325868069477576
152,11220,Sunset Park,"New York City, New York, USA",NYC,40.64287567138672,-74.01264953613281,7.816058598326598
153, 11232,Sunset Park,"New York City, New York, USA",NYC,40.64287567138672,-74.01264953613281,7.816058598326598
154,11206,Bushwick and Williamsburg,"New York City, New York, USA",NYC,40.71330261230469,-73.94924926757812,4.887156251257323
155, 11221,Bushwick and Williamsburg,"New York City, New York, USA",NYC,40.71330261230469,-73.94924926757812,4.887156251257323
156, 11237,Bushwick and Williamsburg,"New York City, New York, USA",NYC,40.71330261230469,-73.94924926757812,4.887156251257323
157,10026,Central Harlem,"New York City, New York, USA",NYC,40.81650924682617,-73.9465560913086,12.588328508575058
158, 10027,Central Harlem,"New York City, New York, USA",NYC,40.81650924682617,-73.9465560913086,12.588328508575058
159,10001,Chelsea and Clinton,"New York City, New York, USA",NYC,40.76150131225586,-73.99781799316406,283.40243067518327
160, 10011,Chelsea and Clinton,"New York City, New York, USA",NYC,40.74102020263672,-73.99955749511719,283.40243067518327
161, 10018,Chelsea and Clinton,"New York City, New York, USA",NYC,40.76150131225586,-73.99781799316406,283.40243067518327
162, 10019,Chelsea and Clinton,"New York City, New York, USA",NYC,40.76150131225586,-73.99781799316406,283.40243067518327
163, 10020,Chelsea and Clinton,"New York City, New York, USA",NYC,40.75975036621094,-73.98056030273438,283.40243067518327
164, 10036,Chelsea and Clinton,"New York City, New York, USA",NYC,40.76150131225586,-73.99781799316406,283.40243067518327
165,10029,East Harlem,"New York City, New York, USA",NYC,40.79668045043945,-73.9349136352539,11.1170762832553
166, 10035,East Harlem,"New York City, New York, USA",NYC,40.79668045043945,-73.9349136352539,11.1170762832553
167,10010,Gramercy Park and Murray Hill,"New York City, New York, USA",NYC,40.737760990997,-73.984545658155,4.535906932939203
